ID,Language_ID,Parameter_ID,Form,Segments,Comment,Source,form_in_source
1161,kalalagawya,1461,,n u,,,
1164,martuwangka,1461,,c a,,,
1170,muruwari,1461,,a,,,
1172,ngarinman,1461,,l a ŋ k a k a c a k u l a,,,
1174,ngarluma,1461,,b u w i,,,
1175,narrinyeri,1461,,a n,,,
1178,northerncoastalnyangumarta,1461,,ŋ i,,,
1179,nyamal,1461,,ŋ u,,,
1180,nyangumarta,1461,,ŋ a,,,
1181,nyunga,1461,,j e a ɹ u ŋ e ɹ j u k i e,,,
1182,paakantyi,1461,,k a,,,
1183,panytyima,1461,,k a,,,
1184,bayungu,1461,,a,,,
1185,pitjantjatjara,1461,,ŋ k a,,,
1186,pittapitta,1461,,i n a,,,
1187,ritarungo,1461,,ŋ a ɹ a,,,
1188,dhalandji,1461,,a,,,
1189,dhargari,1461,,d a,,,
1194,ngura,1461,,l a ŋ a,,,
1196,warlpiri,1461,,ŋ k a,,,
1198,wanman,1461,,ŋ k a,,,
1199,wariyangga,1461,,d a,,,
1200,wiradhuri,1461,,d a,,,
1201,wirangunauo,1461,,ŋ a,,,
1203,yannhangu,1461,,ŋ k a,,,
1204,yandruwandha,1461,,j i,,,
1205,yindjibarndi,1461,,ɖ a,,,
1206,yulparitja,1461,,c a,,,
1207,yuwaalaraay,1461,,g a,,,
1208,adnyamathanha,1291,,i t i t i,,,
1210,alyawarr,1291,,a ʈ e p,,,
1211,alyawarr,1291,,a h e n c a h e n c,,,
1212,arabana,1291,,k u k u,,,
1216,yugambehbandjalang,1291,,m u b a ɹ j,,,
1217,yugambehbandjalang,1291,,m u l i g,,,
1218,yugambehbandjalang,1291,,w,,,
1219,yugambehbandjalang,1291,,m u l i h c,,,
1220,yugambehbandjalang,1291,,g i ɹ a ɹ w e,,,
1229,dhangu,1291,,b u ɳ ɖ a l ŋ u,,,
1231,sydney,1291,,b oː ʔ j oː,,,
1236,dhuwal,1291,,m u t a,,,
1238,dieri,1291,,k u l d u,,,
1239,dyaabugay,1291,,m u d u,,,
1240,djambarrpuyngu,1291,,m u t a,,,
1242,djinang,1291,,b u r g u ŋ i,,,
1247,gamilaraay,1291,,b a w a,,,
1253,kumbainggar,1291,,j iː b a,,,
1257,gupapuyngu,1291,,m u t a,,,
1258,gurindji,1291,,p a ɳ t a w u r u,,,
1262,guyani,1291,,m i l i ɹ i,,,
1263,sydney,1291,,g ɔ ɹ u b u l,,,
1264,jaru,1291,,n a ɹ a,,,
1266,djiwarli,1291,,c i m b i,,,
1268,kalkutung,1291,,m i ɲ c i,,,
1269,gamilaraay,1291,,b o,,,
1270,karadjeri,1291,,b a ɭ a ɹ,,,
34040,arabana,1371,,p a n t c a,,,
1274,kartujarra,1291,,m u r p u,,,
1276,kaurna,1291,,j u m o,,,
1280,kukatja,1291,,g a l g a,,,
1281,kukuyalanji,1291,,m u k u,,,
1286,gurdjar,1291,,β oː e ɖ,,,
1287,gurdjar,1291,,p oː e ɖ,,,
1288,gurdjar,1291,,m oː k i m e r,,,
1289,kuukuyau,1291,,m u c i,,,
1291,kalalagawya,1291,,k a l a,,,
34061,dhuwal,1371,,b u n ˀk u m u,,,
34062,dieri,1371,,p a n t c a,,,
34063,dyaabugay,1371,,b u ŋ g u,,,
1296,margany,1291,,b a ŋ a ɖ,,,
1297,martuwangka,1291,,c a ɳ a,,,
34066,djinang,1371,,b u n d i r i,,,
34071,gamilaraay,1371,,d̪ i n b i r,,,
34077,kumbainggar,1371,,b a g a b a g a,,,
1312,mudburra,1291,,c uː ɳ a,,,
34081,gurindji,1371,,t i ŋ a r i,,,
1314,muruwari,1291,,b i ɭ a,,,
34084,guyani,1371,,m a m p a,,,
1317,ngaanyatjarra,1291,,w i ʈ a p i,,,
34086,jaru,1371,,g i m a ɳ i,,,
34087,djiwarli,1371,,m u ʈ i,,,
1320,lowerriverland,1291,,k a m p k o,,,
1321,ngamini,1291,,k u l d ɹ u,,,
34090,kalkutung,1371,,i p u r u,,,
1323,ngarinman,1291,,b a n d a w u r u,,,
34092,karadjeri,1371,,m o n c o,,,
1325,ngarluma,1291,,m u r u,,,
1326,narrinyeri,1291,,t o l i,,,
34095,kartujarra,1371,,m u ʈ i,,,
34097,kaurna,1371,,m a m b a,,,
1332,northerncoastalnyangumarta,1291,,p i ɳ t i ɭ,,,
1333,nyamal,1291,,m u r u,,,
1334,nyangumarta,1291,,p i ɳ t i l,,,
1335,nyunga,1291,,g a m b u,,,
1336,paakantyi,1291,,ɖ a ɳ a,,,
1339,panytyima,1291,,m u r u,,,
1340,banggarla,1291,,j a ɖ n a,,,
1341,bayungu,1291,,m i g a,,,
34110,kalalagawya,1371,,k u l u,,,
1343,pitjantjatjara,1291,,t c a n a,,,
